taxel,zone,zone_name,row,col,mu,sigma,own_rise,cross_rise,status
437,7,Medio — Distal,7,2,0.000,0.000,290.0,0.0,ok
438,7,Medio — Distal,7,3,0.000,0.000,304.0,0.0,ok
439,7,Medio — Distal,7,4,0.000,0.000,303.0,0.0,ok
440,7,Medio — Distal,7,5,0.000,0.000,233.0,0.0,ok
441,7,Medio — Distal,7,6,0.000,0.000,539.0,0.0,ok
442,7,Medio — Distal,7,7,0.000,0.000,662.0,0.0,ok
443,7,Medio — Distal,8,0,0.000,0.000,473.0,0.0,ok
444,7,Medio — Distal,8,1,0.000,0.000,472.0,0.0,ok
445,7,Medio — Distal,8,2,0.000,0.000,377.0,0.0,ok
446,7,Medio — Distal,8,3,0.000,0.000,217.0,0.0,ok
447,7,Medio — Distal,8,4,0.000,0.000,231.0,0.0,ok
448,7,Medio — Distal,8,5,0.000,0.000,274.0,0.0,ok
449,7,Medio — Distal,8,6,0.000,0.000,295.0,0.0,ok
450,7,Medio — Distal,8,7,0.000,0.000,245.0,0.0,ok
451,7,Medio — Distal,9,0,0.000,0.000,466.0,0.0,ok
452,7,Medio — Distal,9,1,0.000,0.000,538.0,0.0,ok
453,7,Medio — Distal,9,2,0.000,0.000,510.0,0.0,ok
454,7,Medio — Distal,9,3,0.000,0.000,407.0,0.0,ok
455,7,Medio — Distal,9,4,0.000,0.000,211.0,0.0,ok
456,7,Medio — Distal,9,5,0.000,0.000,313.0,0.0,ok
457,7,Medio — Distal,9,6,0.000,0.000,329.0,0.0,ok
458,7,Medio — Distal,9,7,0.000,0.000,289.0,0.0,ok
459,7,Medio — Distal,10,0,0.000,0.000,221.0,0.0,ok
460,7,Medio — Distal,10,1,0.000,0.000,272.0,0.0,ok
461,7,Medio — Distal,10,2,0.000,0.000,286.0,0.0,ok
462,7,Medio — Distal,10,3,0.000,0.000,340.0,0.0,ok
463,7,Medio — Distal,10,4,0.000,0.000,279.0,0.0,ok
464,7,Medio — Distal,10,5,0.000,0.000,141.0,0.0,ok
465,7,Medio — Distal,10,6,0.000,0.000,132.0,0.0,ok
466,7,Medio — Distal,10,7,0.000,0.000,124.0,0.0,ok
467,7,Medio — Distal,11,0,0.000,0.000,35.0,0.0,ok
468,7,Medio — Distal,11,1,0.000,0.000,244.0,0.0,ok
469,7,Medio — Distal,11,2,0.000,0.000,234.0,0.0,ok
470,7,Medio — Distal,11,3,0.000,0.000,346.0,0.0,ok
471,7,Medio — Distal,11,4,0.000,0.000,281.0,0.0,ok
