t_s,fresh_pos,fresh_force,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5,cur
5.240347,1,0,95,58,92,98,449,1557,0,0,0,0,54,-9,69
5.244542,0,0,95,58,92,98,449,1557,0,0,0,0,54,-9,69
5.258443,0,0,95,58,92,98,449,1557,0,0,0,0,54,-9,69
5.262587,0,1,95,58,92,98,449,1557,0,0,-1,0,55,-9,77
5.270829,0,0,95,58,92,98,449,1557,0,0,-1,0,55,-9,77
5.274985,0,0,95,58,92,98,449,1557,0,0,-1,0,55,-9,77
5.279221,0,0,95,58,92,98,449,1557,0,0,-1,0,55,-9,77
5.290874,0,1,95,58,92,98,449,1557,0,0,0,0,55,-9,77
5.300386,0,0,95,58,92,98,449,1557,0,0,0,0,55,-9,46
5.304538,1,0,95,58,92,98,451,1557,0,0,0,0,55,-9,46
5.309171,0,0,95,58,92,98,451,1557,0,0,0,0,55,-9,46
5.321410,0,0,95,58,92,98,451,1557,0,0,0,0,55,-9,46
5.325660,1,0,95,58,92,98,454,1557,0,0,0,0,55,-9,48
5.332649,0,0,95,58,92,98,454,1557,0,0,0,0,55,-9,48
5.336750,0,0,95,58,92,98,454,1557,0,0,0,0,55,-9,48
5.340890,0,0,95,58,92,98,454,1557,0,0,0,0,55,-9,48
5.353148,0,0,95,58,92,98,454,1557,0,0,0,0,55,-9,48
5.362840,1,0,95,58,92,98,457,1557,0,0,0,0,55,-9,17
5.366993,0,0,95,58,92,98,457,1557,0,0,0,0,55,-9,17
5.371216,0,1,95,58,92,98,457,1557,-1,0,0,0,55,-9,17
5.383467,0,1,95,58,92,98,457,1557,-1,0,-1,0,55,-9,17
5.393344,1,0,95,58,92,98,461,1557,-1,0,-1,0,55,-9,51
5.397528,0,0,95,58,92,98,461,1557,-1,0,-1,0,55,-9,51
5.401756,0,1,95,58,92,98,461,1557,0,0,-1,0,55,-9,51
5.414467,0,1,95,58,92,98,461,1557,0,0,0,0,55,-9,51
5.418649,1,0,95,58,92,98,464,1557,0,0,0,0,55,-9,41
5.425721,0,0,95,58,92,98,464,1557,0,0,0,0,55,-9,41
5.429807,0,1,95,58,92,98,464,1557,-1,0,0,0,55,-9,41
5.434242,0,0,95,58,92,98,464,1557,-1,0,0,0,55,-9,41
5.445774,0,0,95,58,92,98,464,1557,-1,0,0,0,55,-9,47
5.456051,1,1,95,58,92,98,466,1557,-1,0,0,0,56,-9,47
5.461244,0,1,95,58,92,98,466,1557,0,0,0,0,56,-9,47
5.465902,0,1,95,58,92,98,466,1557,0,0,-1,0,56,-9,47
5.477302,0,0,95,58,92,98,466,1557,0,0,-1,0,56,-9,59
5.487477,1,1,95,58,92,98,468,1557,0,0,-1,0,56,-8,59
5.492419,0,0,95,58,92,98,468,1557,0,0,-1,0,56,-8,59
5.508609,1,1,95,58,92,98,470,1557,0,0,-1,0,56,-9,35
5.518326,0,0,95,58,92,98,470,1557,0,0,-1,0,56,-9,35
5.522539,0,1,95,58,92,98,470,1557,-1,0,-1,0,56,-9,35
5.527586,0,0,95,58,92,98,470,1557,-1,0,-1,0,56,-9,35
5.539296,1,1,95,58,92,98,472,1557,-1,0,-1,0,55,-9,50
5.549641,0,0,95,58,92,98,472,1557,-1,0,-1,0,55,-9,50
5.554129,0,1,95,58,92,98,472,1557,0,0,-1,0,55,-9,50
5.558667,0,0,95,58,92,98,472,1557,0,0,-1,0,55,-9,49
5.570254,1,1,95,58,92,98,474,1557,0,0,-1,0,56,-9,49
5.580391,0,0,95,58,92,98,474,1557,0,0,-1,0,56,-9,49
5.584973,0,1,95,58,92,98,474,1557,0,0,0,0,56,-9,49
5.590002,0,1,95,58,92,98,474,1557,0,0,0,0,55,-9,68
5.601001,1,0,95,58,92,98,475,1557,0,0,0,0,55,-9,68
5.610588,0,0,95,58,92,98,475,1557,0,0,0,0,55,-9,68
5.615203,0,1,95,58,92,98,475,1557,0,0,-1,0,55,-9,68
5.619863,1,0,95,58,92,98,477,1557,0,0,-1,0,55,-9,77
5.631534,0,0,95,58,92,98,477,1557,0,0,-1,0,55,-9,77
