t_s,force4,force3,force2,pos,cur
3.935,453,283,423,612,0
3.937,453,283,423,612,0
3.945,453,283,423,612,0
3.947,453,283,423,612,0
3.949,453,283,423,612,0
3.953,453,283,423,612,0
3.964,453,282,423,612,0
3.966,453,282,423,612,0
3.969,453,282,423,612,0
3.978,453,282,423,612,0
3.980,453,282,423,612,0
3.982,453,282,423,612,0
3.985,453,282,423,612,0
3.996,453,283,423,612,0
3.999,453,283,423,612,0
4.001,453,283,423,612,0
4.008,453,283,423,612,0
4.010,453,283,423,612,0
4.012,453,283,423,612,0
4.014,453,283,423,612,0
4.017,453,283,423,612,0
4.028,453,283,423,612,0
4.031,453,283,423,612,0
4.038,453,283,423,612,0
4.040,453,283,423,612,0
4.042,453,283,423,612,0
4.044,453,283,423,612,0
4.047,453,282,423,612,0
